Word,NumId
Graceful,120
Marvelous,120
Spectacular,120
Splendid,120
Magnificent,120
Splendiferous,120
Extravagant,23
Heinous,100
Abominable,100
Atrocious,100
Disgraceful,100
Reprehensible,100
Deplorable,100
Despicable,100
Nefarious,98
Flagitious,98
Iniquitous,100
Repugnant,99
Odious,99
Pleasing,-99
Repulsive,99
Vile,99
Foul,99
Detestable,100
Abhorrent,100
Fiendish,98
Vitriolic,89
Rancorous (long standing),89
Malice (Adj.),89
Acrimonious,89
Bitter,89
Mordant (esp. Humor),89
Facinorous,98
Gruesome,100
Gruesome,101
Horrible,101
Horrendous,101
Terrible,101
Dreadful,101
Appalling,101
Ghastly (appearance),101
Awful,101
Awful,99
Intimidating,102
Daunting,102
Formidable,102
Menace (person),103
Threat,103
Danger,103
Peril,103
Hazard,103
Alarm,103
Rejoice,104
Delight (Vb.),160
Relish,160
Great enjoyment,160
Savor (taste),160
Enjoy,104
Diabolical (object),99
Diabolical,100
Jeopardy,103
Merriment,104
Congregate (people),-90
Gather,91
Collect,91
Garner (Info/approval),91
Amass,91
Muster,91
Accumulate,91
Accrue,91
Convene (people),91
Assemble,-90
Disperse,-91
Scatter,-91
Diffuse,-91
Spread,-91
Disband,-91
Premonition,115
Foreboding,115
Presentiment,115
Hunch,115
Insinuation,115
Inebriated,116
Intoxicated,116
Conceit,117
Overweening (noun),117
Vanity,117
Ego,117
Pride,117
Reckless,118
Indiscreet,118
Rash,118
Precipitous,118
Impetuous,118
Inconsiderate,118
Judicious,-118
Prudent,-118
Considerate,-118
Astute,-118
Shrewd,-118
Sagacious (wise),-118
Involve,-40
Engage,-40
Hurdle,121
Obstacle,121
Setback,121
Hindrance,121
Mishap,122
Accident,122
Leverage,123
Utilize,123
Spoil,-123
Squander,-123
Waste,-123
Exploit (negative),123
Harness,123
Serendipity,161
Positive coincidence,161
Fortuity,161
Lucky incident,161
Disparate,124
Different,124
Separate (Adj.),124
Unlike,124
Distinct,124
Discrete,124
Distinguished,124
Resembling,-124
Matching,-124
Alike,-124
Mortification,-117
Embarrassment,-117
Sheepish,-117
Shame,-117
Discomfiture,-117
Abashment,-117
Chagrin,-117
Mortify (subdue one’s impulses),56
Self-control,56
Inkling,162
Intuition,162
Hint,162
Indication,162
Mete out,126
Distribute,126
Dispense,126
Apportion,126
Scathing,125
Sardonic,125
Wry,125
Jibing,125
Jeering,125
Scoffing,125
Scornful,125
Derisive,125
Hustle (noun),163
Bustle,163
Struggle,163
Hustle (Vb.),164
Jostle,164
Jolt,164
Bump,164
Splenetic,112
Ill-tempered,112
Grumpy (Mood),112
Petulant (Childish),111
Peevish,111
Irritable,111
Irascible,111
Disgruntled,112
Grouchy,111
Grumpy,111
Vituperative,113
Invective,113
Pejorative,113
Disrespectful,113
Eulogic,-113
Derogatory,113
Opprobrious,113
Scurrilous,113
Vituperate,107
Reprimand,107
Reprehend,107
Admonish,107
Rebuke,107
Chide,107
Reprove (Scold),107
Castigate,108
Chastise,108
Punish,109
Chasten,109
Reward,-109
Requite (Service/wrongdoing/favour),110
Reciprocate,110
Recompense,110
Violent,114
Pugnacious,114
Aggressive,114
Bellicose,114
Belligerent,114
Contentious,119
Confrontational,119
Factious,119
Controversial (topic),119
Agreeable,-119
Petrified,127
Afraid,127
Terrified,127
Frightened,127
Aghast,127
Turmoil,165
Tumult,165
Ferment (political),165
Commotion,165
Uproar,165
Unrest,165
Clamour (noise),165
Upheaval,165
Pandemonium,165
Peace,-165
Straightforward,166
Unvarnished,166
Stark,166
Frank,166
Candid,166
Forthright,166
Downright,166
Blunt,166
Outright,166
Subtle,-166
Allude (Adj.),-166
Implicit,-166
Suggestive,-166
Decorate,128
Embellish,128
Furnish,128
Garnish,128
Adorn,128
Elaborate (Vb.),167
Delineate,167
Describe,167
Vague,129
Obscure,129
Inconspicuous,129
Unobtrusive,129
Ambiguous,129
Illegible (writing),129
Inscrutable,129
Intelligible,-129
Discernible,-129
Explicit,-129
Perspicuous,-129
Clear,-129
Lucid,-129
Evident,-129
Comprehensible,-129
Recondite,168
Arcane,168
Abstruse,168
Esoteric,168
Well known,-168
Familiar,-168
Opaque,169
Transparent,-169
Translucent,-169
Flagrant,170
Overt,170
Blatant,170
Brazen,170
Perspicacious,-118
Exorbitant,23
Ostentatious,171
Flashy,171
Flamboyant,171
Ornate (decorated),171
Gaudy,171
Garish,171
Fancy,171
Enervate,-5
Garrulous,138
Talkative,138
Loquacious,138
Vociferous (protest),138
Verbose,138
Laconic,-138
Taciturn,-138
Reticent,139
Reserved,139
Demure (female),139
Introverted,139
Expressive,-139
Verbal,-139
Articulate,155
Incoherent,-155
Eloquent,155
Fluent,155
Enunciated,155
Vitiate (legal),
Cogent,130
Plausible,130
Convincing,130
Compelling,130
Sound,130
Cynical,131
Sceptical,131
Incredulous,131
Mistrustful,131
Dubious (doubtful),131
Suspicious,131
Gullible,-131
Credulous,-131
Ingenuous (person/action),-131
Guileless,-131
Solicitous,-137
Caring,-137
Nonchalant,137
Calm and relaxed,137
Excited,-137
Thrilled,-137
Composed,137
